Business Code,Company Name
EU,Virtual European Paths
ZB,Alliance Rail
ED,Northern Trains
HL,Transport for Wales
HT,c2c
ES,Caledonian Sleeper
HO,Chiltern Railways
EH,CrossCountry
PO,DC Rail
EM,East Midlands Railway
GA,Eurostar
EG,Unmapped (was First Capital Connect)
PF,Hull Trains
HV,Unmapped (was Gatwick Express)
PE,GB Railfreight
ET,Govia Thameslink Railway (Great Northern)
ET,Govia Thameslink Railway (Thameslink)
EC,Grand Central
LN,Grand Central (North West)
EF,Great Western Railway
EB,Greater Anglia
EE,Heathrow Connect
HM,Heathrow Express
HZ,Island Lines
LS,Locomotive Services
EJ,West Midlands Trains
EK,London Overground
XC,LUL Bakerloo Line
XE,LUL District Line - Richmond
XB,LUL District Line - Wimbledon
HE,Merseyrail
LR,Network Rail (On-Track Machines)
PG,Nexus (Tyne & Wear Metro)
PR,North Yorkshire Moors Railway
HA,ScotRail
HY,South Western Railway
SJ,South Yorkshire Supertram
HU,Southeastern
HW,Southern
SP,Swanage Railway
EX,TfL Rail
EA,TransPennine Express
HF,Avanti West Coast
HB,London North Eastern Railway
PA,West Coast Railways
RR,JSD Rail Research & Development
PV,Victa Westlink Rail (defunct)
FM,DB Cargo Charters
WA,DB Cargo Freight
PH,Rail Operations Group
DA,DB Cargo International
DB,Freightliner Intermodal
SD,Serco Rail Operations
DH,Freightliner Heavy Haul
PN,Freight Europe (defunct)
PT,Europorte Channel
LC,LORAM
QA,Network Rail (Internal use only)
QJ,Network Rail Virtual Freight Company
EI,Wrexham and Shropshire (defunct)
TY,Vintage Trains
RU,Seco Rail (defunct)
RQ,Carillion Rail CTRL (Phase 1) (defunct)
RT,Harsco
RZ,Balfour Beatty Rail
,Unmapped
RG,Colas Rail
RE,Amey Fleet Services
RB,Carillion Rail
LD,East Coast Trains
RD,SB (Swietelsky Babcock) Rail
,Unmapped
,Unmapped
RH,VolkerRail
PK,Pre Metro Operations
PS,SNCF Freight Services
,Unmapped
PI,Unmapped (was Advenza Freight)
PM,On Route Logistics
SO,SLC Operations
,Unmapped
,Unmapped
,Unmapped
,Unmapped
,Unmapped
,Unmapped
,Unmapped
LF,Grand Union Trains
LG,Legge Infrastructure Services
LN,Grand Central (North West)
,Unmapped
,Unmapped
,Unmapped
,Unmapped
,Unmapped
HW,Unmapped (was Southern)
,Unmapped
,Unmapped
NR,Network Rail Reserved Pathings (non-QJ)
XJ,Ffestiniog Railway
MV,Varamis Rail
,Unmapped
XH,Direct Rail Services
RM,Internal Testing
,Unmapped
HS,Unmapped (was Anglia Railways)
HP,Unmapped (was Silverlink Train Services)
HG,Unmapped (was Central Trains)
HQ,Unmapped (was WAGN)
HR,Unmapped (was First Great Eastern)
